NFL '26 Survey — By Country (Col M),,,,,,,,,,,,,
Breakdown: Tidy Country,,,,,,,,,,,,,
Question,Response,Total N,Global Average %,Australia %,Brazil %,DACH %,France %,Italy %,Japan %,Mexico %,RoW %,Spain %,United Kingdom %
How old are you?,18-24 years old,344,1.80%,0.50%,2.10%,2.10%,1.70%,1.00%,1.10%,1.60%,2.40%,1.30%,1.60%
,25-34 years old,2450,12.60%,10.00%,25.80%,15.20%,12.90%,10.70%,8.40%,12.40%,12.50%,9.40%,12.60%
,35-44 years old,5114,26.20%,28.30%,31.60%,31.50%,29.60%,19.60%,12.20%,25.20%,28.10%,27.40%,26.70%
,45-54 years old,5790,29.70%,28.30%,26.00%,27.50%,34.20%,34.20%,28.10%,34.30%,26.70%,37.50%,29.00%
,55-64 years old,3946,20.20%,19.20%,10.40%,17.30%,13.30%,26.80%,34.80%,19.30%,17.60%,18.60%,19.90%
,65+ years old,1648,8.50%,11.80%,3.40%,5.40%,8.00%,6.90%,14.10%,6.30%,11.10%,5.20%,9.20%
,Prefer not to say,144,0.70%,1.60%,0.40%,0.50%,0.30%,0.70%,1.10%,0.50%,0.90%,0.50%,0.70%
,Under 18 years old,59,0.30%,0.40%,0.20%,0.30%,0.00%,0.30%,0.10%,0.30%,0.50%,0.10%,0.30%
,Base (answered),19495,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
,,,,,,,,,,,,,
How much of a fan would you say you are of the NFL?,"I like it, but I wouldn’t say I’m a fan",1229,6.30%,1.20%,6.20%,3.60%,6.00%,7.80%,9.80%,10.10%,8.60%,6.40%,0.50%
,"I’m a fan, but not a huge one",5437,28.00%,20.20%,23.30%,20.20%,30.20%,32.10%,40.20%,29.30%,34.50%,28.10%,18.30%
,I’m a huge fan,12569,64.80%,78.60%,69.90%,75.80%,63.50%,59.50%,48.90%,59.40%,55.10%,65.10%,81.20%
,I’m not a fan at all,156,0.80%,0.00%,0.60%,0.40%,0.30%,0.60%,1.10%,1.20%,1.80%,0.30%,0.00%
,Base (answered),19391,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How long have you been an NFL fan?,1-3 years,1204,6.30%,5.10%,11.00%,5.20%,8.50%,7.10%,5.20%,3.70%,7.60%,10.60%,4.90%
,10+ years,14430,75.10%,80.20%,65.60%,68.60%,70.80%,76.30%,81.20%,86.80%,75.20%,62.40%,79.70%
,4-6 years,1863,9.70%,8.30%,11.60%,12.80%,13.30%,8.70%,7.50%,4.90%,9.00%,13.80%,8.50%
,7-9 years,1721,9.00%,6.50%,11.80%,13.50%,7.40%,7.90%,6.00%,4.70%,8.10%,13.20%,6.80%
,Base (answered),19218,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
How would you describe how closely you follow the NFL? - Selected Choice,I mainly / only watch RedZone,670,3.50%,3.20%,0.70%,5.30%,4.20%,6.90%,0.40%,1.30%,3.70%,5.20%,3.20%
,I mainly / only watch game highlights,448,2.40%,0.50%,0.20%,1.10%,2.00%,3.90%,9.10%,0.60%,1.90%,2.50%,1.00%
,Mainly interested in the Playoffs and Super Bowl,955,5.00%,0.30%,3.70%,2.10%,3.90%,9.70%,16.60%,3.30%,5.20%,5.20%,0.70%
,Mainly interested in the Super Bowl only,336,1.80%,0.40%,1.10%,1.00%,0.80%,1.10%,5.40%,1.90%,2.20%,1.50%,0.20%
,Other (please specify),262,1.40%,1.20%,1.50%,1.20%,1.30%,1.90%,2.10%,0.40%,1.70%,2.00%,0.90%
,Watch / follow infrequently,870,4.60%,3.80%,3.90%,3.30%,1.10%,6.60%,9.50%,3.90%,5.80%,3.50%,1.70%
,Watch every / most games,6559,34.70%,36.80%,48.20%,36.60%,33.60%,36.40%,12.10%,46.20%,29.20%,43.60%,41.50%
,Watch every / most games of the team(s) I am a fan of,6537,34.60%,43.70%,25.00%,38.70%,36.50%,25.60%,30.00%,28.90%,37.50%,23.80%,42.30%
,Watch games frequently of the team(s) I am a fan of,2280,12.10%,10.00%,15.60%,10.80%,16.50%,7.90%,15.00%,13.50%,12.80%,12.60%,8.70%
,Base (answered),18917,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"How likely are you to recommend NFL Game Pass on DAZN to a friend, family member or collea",Detractor,7617,40.40%,53.20%,21.60%,45.90%,35.50%,34.30%,62.10%,24.50%,33.80%,34.80%,44.60%
,Passive,6151,32.60%,29.00%,31.10%,33.40%,38.50%,38.30%,24.00%,29.80%,32.90%,37.20%,36.80%
,Promoter,5099,27.00%,17.80%,47.40%,20.70%,25.90%,27.40%,14.00%,45.70%,33.30%,28.00%,18.60%
,Base (answered),18867,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
,,,,,,,,,,,,,
"How likely are you to recommend NFL Game Pass on DAZN to a friend, family member or collea",0,879,4.70%,7.40%,4.20%,4.50%,4.60%,4.20%,5.80%,4.50%,3.70%,5.40%,4.70%
,1,523,2.80%,5.70%,0.90%,3.30%,1.40%,1.50%,4.60%,1.90%,2.40%,1.30%,2.70%
,10,3190,16.90%,10.80%,33.50%,12.50%,15.50%,16.80%,10.00%,31.20%,20.30%,15.10%,10.60%
,2,730,3.90%,6.10%,2.00%,5.10%,2.80%,2.80%,5.80%,2.10%,3.10%,3.00%,3.90%
,3,938,5.00%,5.30%,1.80%,6.40%,3.30%,2.70%,9.90%,2.80%,4.00%,3.60%,4.80%
,4,710,3.80%,5.30%,1.10%,4.60%,3.20%,2.90%,4.50%,2.20%,3.60%,2.40%,4.80%
